MRT NUMBER,BATCH,KIN SOL,DATA SOURCE,BUFFER
MRT00012596,01,76,MRCT,STD
MRT00300745,01,25,MRCT,STD
MRT00301112,01,0,MRCT,STD
MRT00301113,01,49,MRCT,STD
MRT00301114,01,2,MRCT,STD
MRT00301115,01,0,MRCT,STD
MRT00301116,01,49,MRCT,STD
MRT00301117,01,3,MRCT,STD
MRT00301118,01,15,MRCT,STD
MRT00301119,01,129,MRCT,STD
MRT00301123,01,135,MRCT,STD
MRT00301124,01,28,MRCT,STD
MRT00300367,02,40,MRCT,STD
MRT00301167,01,3,MRCT,STD
MRT00301168,01,30,MRCT,STD
MRT00301169,01,0,MRCT,STD
MRT00301170,01,31,MRCT,STD
MRT00301171,01,25,MRCT,STD
MRT00301172,01,158,MRCT,STD
MRT00266862,01,207,MRCT,STD
MRT00266919,01,190,MRCT,STD
MRT00266942,01,119,MRCT,STD
MRT00266943,01,220,MRCT,STD
MRT00196172,03,206,MRCT,STD
MRT00044846,03,0,MRCT,STD
MRT00060209,03,26,MRCT,STD
MRT00267939,01,161,MRCT,STD
MRT00013493,01,213,MRCT,STD
